"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","28,312.07","Increase the GUNIV3DAIUSDC1-A Debt Ceiling - October 11, 2021","Yes",""
"2021-10-14 03:24:44 013413940_098_000_1","CHOOSE","","28,312.07","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","Yes",""
"2021-10-14 03:24:44 013413940_098_000_0","RETRACT","","28,312.07","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","",""
"2021-10-13 01:38:20 013407202_018_000_0","CHOOSE","","28,312.07","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - October 11, 2021","No",""
"2021-10-13 01:38:20 013407202_018_000_0","CHOOSE","","28,312.07","Ratification Poll for Adding MakerLabs Core Unit (SNUNK-001) - October 11, 2021","No",""
"2021-10-12 13:54:13 013404021_129_000_1","CHOOSE","","28,312.07","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Abstain",""
"2021-10-12 13:54:13 013404021_129_000_0","CHOOSE","","28,312.07","Ratification Poll for Implementation of DSS Charter (MIP59) - October 11, 2021","Yes",""
"2021-10-12 13:54:13 013404021_129_000_0","CHOOSE","","28,312.07","Ratification Poll for Growth Core Unit Budget, GRO-001 (MIP40c3-SP37) - October 11, 2021","Yes",""
"2021-10-12 13:54:13 013404021_129_000_0","CHOOSE","","28,312.07","Ratification Poll for Adding Data Insights Core Unit (DIN-001) - October 11, 2021","Yes",""
"2021-10-12 13:54:13 013404021_129_000_0","CHOOSE","","28,312.07","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","No",""
"2021-10-12 13:54:13 013404021_129_000_0","CHOOSE","","28,312.07","Nexo Institutional Vault Onboarding - October 11, 2021","Yes",""
"2021-10-12 13:54:13 013404021_129_000_0","CHOOSE","","28,312.07","Add stETH (Lido Staked ETH) as a new Vault Type - October 11, 2021","Yes",""
"2021-10-12 13:54:13 013404021_129_000_0","CHOOSE","","28,312.07","Increase the GUNIV3DAIUSDC1-A Debt Ceiling - October 11, 2021","Yes",""
"2021-10-12 13:54:13 013404021_129_000_0","CHOOSE","","28,312.07","Add the Aave Direct Deposit DAI Module (D3M) - October 11, 2021","Yes",""
"2021-10-12 13:54:13 013404021_129_000_0","CHOOSE","","28,312.07","PaperImperium Supplemental Compensation - October 11, 2021","Abstain",""
"2021-10-12 13:54:13 013404021_129_000_0","RETRACT","","28,312.07","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","",""
"2021-10-09 12:31:13 013384551_051_000_1","VOTE","","28,312.07","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","","YES"
"2021-10-09 12:31:13 013384551_051_000_0","MOVE VOTE","","28,312.07","Offboarding USDT Collateral, Core Unit Budget Distributions - October 1, 2021","",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","28,312.07","Offboard the BAT-A Vault Type - October 4, 2021","Yes",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","28,312.07","Offboard the ZRX-A Vault Type - October 4, 2021","Yes",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","28,312.07","Offboard the UNIV2LINKETH-A Vault Type - October 4, 2021","Yes",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","28,312.07","Offboard the LRC-A Vault Type - October 4, 2021","Yes",""
"2021-10-07 16:00:00 013372748_000_000","FINAL_CHOICE","","28,312.07","Offboard the UNIV2AAVEETH-A Vault Type - October 4, 2021","Yes",""
"2021-10-06 13:34:15 013365695_187_000_1","CHOOSE","","28,312.07","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Abstain",""
