"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-11-15 03:13:09 013617895_040_001_1","DOWN-VOTE","","20,150.30","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-15 03:13:09 013617895_040_001_0","WITHDRAW","-50.00","20,100.30","","",""
"2021-11-14 12:38:47 013614041_074_001_2","UP-VOTE","","20,150.30","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","",""
"2021-11-14 12:38:47 013614041_074_001_1","UP-VOTE","","20,150.30","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","","YES"
"2021-11-14 12:38:47 013614041_074_001_0","STAKE","100.03","20,150.30","","",""
"2021-11-13 23:06:05 013610475_050_000_000_001_2","UP-VOTE","","20,050.27","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","",""
"2021-11-13 23:06:05 013610475_050_000_000_001_1","UP-VOTE","","20,050.27","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-13 23:06:05 013610475_050_000_000_001_0","STAKE","20,000.00","20,050.27","","",""
"2021-11-13 00:55:22 013604624_271_000_3","VOTE","","50.27","Parameter Changes, Return Unused Budget to the Surplus Buffer - November 12, 2021","",""
"2021-11-13 00:55:22 013604624_271_000_2","VOTE","","50.27","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-13 00:55:22 013604624_271_000_1","MOVE VOTE","","50.27","Aave D3M Onboarding and Core Unit Budget Transfers - October 29, 2021","",""
"2021-11-13 00:55:22 013604624_271_000_0","MOVE VOTE","","50.27","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","50.27","Add WBTC-B as a new Vault Type - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","50.27","GUNIV3DAIUSDC-A Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","50.27","NS-DROP Covenant Modification - November 8, 2021","Abstain",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","50.27","Recognised Delegate Compensation Increase - November 8, 2021","Abstain",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","50.27","Increase the WSTETH-A Debt Ceiling - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","50.27","DIRECT-AAVEV2-DAI Parameter Adjustments - November 8, 2021","Yes",""
