"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-10-31 01:27:39 013521909_116_000_0","MOVE VOTE","","5,139.34","Parameter Changes, September Core Unit Budgets, DssVest Streams - September 3, 2021","",""
"2021-10-28 16:00:00 013506680_000_000","FINAL_CHOICE","","5,139.34","Raise the ESM threshold and Increase the Governance Delay - October 25, 2021","No",""
"2021-10-28 16:00:00 013506680_000_000","FINAL_CHOICE","","5,139.34","Recognised Delegate Compensation Trial - October 25, 2021","Abstain",""
"2021-10-27 23:12:06 013502215_112_000_0","CHOOSE","","5,139.34","Community Greenlight Poll - CSC (Curio Stablecoin) - October 18, 2021","No (Defer)",""
"2021-10-27 23:12:06 013502215_112_000_0","CHOOSE","","5,139.34","Recognised Delegate Compensation Trial - October 25, 2021","Abstain",""
"2021-10-27 23:12:06 013502215_112_000_0","CHOOSE","","5,139.34","Clean Money Sentiment - October 25, 2021","Abstain",""
"2021-10-27 23:12:06 013502215_112_000_0","CHOOSE","","5,139.34","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Yes (Greenlight)",""
"2021-10-27 23:12:06 013502215_112_000_0","CHOOSE","","5,139.34","Raise the ESM threshold and Increase the Governance Delay - October 25, 2021","No",""
"2021-10-27 23:12:06 013502215_112_000_0","CHOOSE","","5,139.34","Community Greenlight Poll - TM2-DROP (Technology Metals Market) - October 18, 2021","Abstain",""
"2021-10-27 11:49:54 013499208_200_000_000_001_1","UP-VOTE","","5,139.34","Parameter Changes, September Core Unit Budgets, DssVest Streams - September 3, 2021","",""
"2021-10-27 11:49:54 013499208_200_000_000_001_0","STAKE","5,000.00","5,139.34","","",""
"2021-10-21 16:00:00 013461957_000_000","FINAL_CHOICE","","139.34","Parameter Changes Proposal - MakerDAO Open Market Committee - October 18, 2021","Yes",""
"2021-10-21 15:55:24 013461934_173_000_0","CHOOSE","","139.34","Parameter Changes Proposal - MakerDAO Open Market Committee - October 18, 2021","Yes",""
"2021-10-18 16:00:00 013442748_000_000","FINAL_CHOICE","","139.34","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Yes (Greenlight)",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","139.34","Add the Aave Direct Deposit DAI Module (D3M) - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","139.34","Increase the GUNIV3DAIUSDC1-A Debt Ceiling - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","139.34","PaperImperium Supplemental Compensation - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","139.34","Nexo Institutional Vault Onboarding - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","139.34","Add stETH (Lido Staked ETH) as a new Vault Type - October 11, 2021","Yes",""
"2021-10-14 14:59:34 013416994_458_000_1","CHOOSE","","139.34","Community Greenlight Poll - CurveLP-stETH-ETH (Curve stETH-ETH LP Token) - October 4, 2021","Yes (Greenlight)",""
"2021-10-14 14:59:34 013416994_458_000_0","CHOOSE","","139.34","Nexo Institutional Vault Onboarding - October 11, 2021","Yes",""
"2021-10-14 14:59:34 013416994_458_000_0","CHOOSE","","139.34","Add stETH (Lido Staked ETH) as a new Vault Type - October 11, 2021","Yes",""
