"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - UNI-V2-DAI-YFI (UniswapV2 DAI-YFI Liquidity Token) - January 18, 2021","Yes (Greenlight)",""
"2021-02-01 16:00:00 011771281_000_000","FINAL_CHOICE","","20,540.00","Community Greenlight Poll - BPT-50WBTC-50WETH (50% WBTC 50% ETH Balancer Pool Token) - January 18, 2021","Yes (Greenlight)",""
"2021-01-30 07:03:22 011755841_104_000_2","VOTE","","20,540.00","Add ETH-A to the Debt Ceiling Instant Access Module - January 29, 2021","",""
"2021-01-30 07:03:22 011755841_104_000_1","VOTE","","20,540.00","Approve January 2021 Governance Cycle Bundle - January 25, 2021","",""
"2021-01-30 07:03:22 011755841_104_000_0","MOVE VOTE","","20,540.00","Approve January 2021 Governance Cycle Bundle - January 25, 2021","",""
"2021-01-28 16:00:00 011745236_000_000","FINAL_CHOICE","","20,540.00","Add NS-DROP (New Silver DROP) as a Collateral Type - January 25, 2021","Yes",""
"2021-01-28 06:51:10 011742815_097_000_1","VOTE","","20,540.00","Approve January 2021 Governance Cycle Bundle - January 25, 2021","","YES"
"2021-01-28 06:51:10 011742815_097_000_0","MOVE VOTE","","20,540.00","Activate DSChief v1.2","",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Add NS-DROP (New Silver DROP) as a Collateral Type - January 25, 2021","Yes",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - stETH (LidoDAO Staked Ether) - January 18, 2021","Yes (Greenlight)",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - UNI-V2-DAI-YFI (UniswapV2 DAI-YFI Liquidity Token) - January 18, 2021","Yes (Greenlight)",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - UNI-V2-DAI-WBTC (UniswapV2 DAI-WBTC Liquidity Token) - January 18, 2021","Yes (Greenlight)",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - renFIL (RenVM Filecoin) - January 18, 2021","Abstain",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - BPT-50WBTC-50WETH (50% WBTC 50% ETH Balancer Pool Token) - January 18, 2021","Yes (Greenlight)",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - UNI-V2-DAI-USDT (UniswapV2 DAI-USDT Liquidity Token) - January 18, 2021","Yes (Greenlight)",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - UNI-V2-DAI-USDC (UniswapV2 DAI-USDC Liquidity Token) - January 18, 2021","Yes (Greenlight)",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - STAKE (xDAI STAKE) - January 18, 2021","Yes (Greenlight)",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - P1-DROP (Peoples Company DROP) - January 18, 2021","Yes (Greenlight)",""
"2021-01-28 06:42:56 011742771_034_000_0","CHOOSE","","20,540.00","Community Greenlight Poll - WFIL (Wrapped Filecoin) - January 18, 2021","Abstain",""
"2021-01-14 16:00:00 011654147_000_000","FINAL_CHOICE","","20,540.00","Inclusion Poll for Onboarding Sam MacPherson to the Smart Contracts Domain (MIP7c3-SP6)- January 11, 2021","Yes",""
"2021-01-14 16:00:00 011654147_000_000","FINAL_CHOICE","","20,540.00","Rates Proposal - January 11, 2021","Yes",""
"2021-01-14 16:00:00 011654147_000_000","FINAL_CHOICE","","20,540.00","Add UNI-V2-WBTC-ETH (UniswapV2 WBTC-ETH LP Token) as a Collateral Type - January 11, 2021","Yes",""
"2021-01-14 16:00:00 011654147_000_000","FINAL_CHOICE","","20,540.00","Whitelist Set Protocol on Multiple Oracles - January 11, 2021","Yes",""
"2021-01-14 16:00:00 011654147_000_000","FINAL_CHOICE","","20,540.00","Adjust FLAP Auction Parameters - January 11, 2021","Yes",""
