"Time","Operation","Transfer(MKR)","Stake(MKR)","Executive/Poll","Options","Deci-sive"
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Offboard the COMP-A Vault Type - November 15, 2021","Yes",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Change of Covenants for P1-DROP (Peoples Company Series 1) - November 15, 2021","Abstain",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Rates Proposal - November 15, 2021","Yes",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - November 8, 2021","Yes",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Ratification Poll for Adding Sidestream Auction Services Core Unit, SAS-001 - November 8, 2021","Yes",""
"2021-11-17 23:30:15 013635893_083_000_0","CHOOSE","","10,102.26","Ratification Poll for Modify Core Unit Budget, COM-001 (MIP40c3-SP40) - November 8, 2021","Yes",""
"2021-11-15 16:00:00 013621260_000_000","FINAL_CHOICE","","10,102.26","Community Greenlight Poll - OHM (Olympus DAO) - November 1, 2021","No (Defer)",""
"2021-11-15 16:00:00 013621260_000_000","FINAL_CHOICE","","10,102.26","Community Greenlight Poll - MDI (MD Irradiance LLC) - November 1, 2021","Abstain",""
"2021-11-15 01:43:11 013617504_348_000_0","CHOOSE","","10,102.26","Community Greenlight Poll - OHM (Olympus DAO) - November 1, 2021","No (Defer)",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","10,102.26","DIRECT-AAVEV2-DAI Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","10,102.26","Recognised Delegate Compensation Increase - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","10,102.26","NS-DROP Covenant Modification - November 8, 2021","Abstain",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","10,102.26","GUNIV3DAIUSDC-A Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","10,102.26","Add WBTC-B as a new Vault Type - November 8, 2021","Yes",""
"2021-11-11 16:00:00 013595847_000_000","FINAL_CHOICE","","10,102.26","Increase the WSTETH-A Debt Ceiling - November 8, 2021","Yes",""
"2021-11-11 06:17:09 013593286_054_000_0","CHOOSE","","10,102.26","GUNIV3DAIUSDC-A Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-11 06:17:09 013593286_054_000_0","CHOOSE","","10,102.26","NS-DROP Covenant Modification - November 8, 2021","Abstain",""
"2021-11-11 06:17:09 013593286_054_000_0","CHOOSE","","10,102.26","Recognised Delegate Compensation Increase - November 8, 2021","Yes",""
"2021-11-11 06:17:09 013593286_054_000_0","CHOOSE","","10,102.26","Increase the WSTETH-A Debt Ceiling - November 8, 2021","Yes",""
"2021-11-11 06:17:09 013593286_054_000_0","CHOOSE","","10,102.26","DIRECT-AAVEV2-DAI Parameter Adjustments - November 8, 2021","Yes",""
"2021-11-11 06:17:09 013593286_054_000_0","CHOOSE","","10,102.26","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - November 8, 2021","Yes",""
"2021-11-11 06:17:09 013593286_054_000_0","CHOOSE","","10,102.26","Ratification Poll for the Immunefi Security Core Unit (IS-001) - November 8, 2021","Yes",""
"2021-11-11 06:17:09 013593286_054_000_0","CHOOSE","","10,102.26","Ratification Poll for Supplement to Collateral Onboarding Application (MIP6c3-SP1) - November 8, 2021","Yes",""
"2021-11-11 06:17:09 013593286_054_000_0","CHOOSE","","10,102.26","Add WBTC-B as a new Vault Type - November 8, 2021","Yes",""
"2021-11-06 06:05:26 013561333_131_000_2","VOTE","","10,102.26","Parameter Changes, Core Unit Budget Distribution - November 5, 2021","",""
"2021-11-06 06:05:26 013561333_131_000_1","MOVE VOTE","","10,102.26","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-11-06 06:05:26 013561333_131_000_0","MOVE VOTE","","10,102.26","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-11-04 16:00:00 013551154_000_000","FINAL_CHOICE","","10,102.26","Parameter Changes Proposal - MakerDAO Open Market Committee - November 1, 2021","Yes",""
"2021-11-04 16:00:00 013551154_000_000","FINAL_CHOICE","","10,102.26","Lower PSM Vault Fees - November 1, 2021","Yes",""
"2021-11-03 16:05:05 013544826_008_001_2","UP-VOTE","","10,102.26","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-11-03 16:05:05 013544826_008_001_1","UP-VOTE","","10,102.26","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-11-03 16:05:05 013544826_008_001_0","STAKE","0.00","10,102.26","","",""
"2021-11-03 05:17:21 013542015_214_000_0","CHOOSE","","10,102.26","Lower PSM Vault Fees - November 1, 2021","Yes",""
"2021-11-03 05:17:21 013542015_214_000_0","CHOOSE","","10,102.26","Community Greenlight Poll - MDI (MD Irradiance LLC) - November 1, 2021","Abstain",""
"2021-11-03 05:17:21 013542015_214_000_0","CHOOSE","","10,102.26","Parameter Changes Proposal - MakerDAO Open Market Committee - November 1, 2021","Yes",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","10,102.26","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Yes (Greenlight)",""
"2021-11-01 16:00:00 013532112_000_000","FINAL_CHOICE","","10,102.26","Clean Money Sentiment - October 25, 2021","Yes",""
"2021-10-30 01:53:03 013515712_014_001_2","UP-VOTE","","10,102.26","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-10-30 01:53:03 013515712_014_001_1","UP-VOTE","","10,102.26","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-10-30 01:53:03 013515712_014_001_0","STAKE","0.00","10,102.26","","",""
"2021-10-28 16:00:00 013506680_000_000","FINAL_CHOICE","","10,102.26","Recognised Delegate Compensation Trial - October 25, 2021","Yes",""
"2021-10-28 16:00:00 013506680_000_000","FINAL_CHOICE","","10,102.26","Raise the ESM threshold and Increase the Governance Delay - October 25, 2021","No",""
"2021-10-28 06:27:26 013504102_360_000_0","CHOOSE","","10,102.26","Raise the ESM threshold and Increase the Governance Delay - October 25, 2021","No",""
"2021-10-28 06:27:26 013504102_360_000_0","CHOOSE","","10,102.26","Community Greenlight Poll - OFH (Security Tokens Refinancing) - October 18, 2021","Yes (Greenlight)",""
"2021-10-28 06:27:26 013504102_360_000_0","CHOOSE","","10,102.26","Clean Money Sentiment - October 25, 2021","Yes",""
"2021-10-28 06:27:26 013504102_360_000_0","CHOOSE","","10,102.26","Recognised Delegate Compensation Trial - October 25, 2021","Yes",""
"2021-10-27 10:49:41 013498965_079_000_000_001_2","UP-VOTE","","10,102.26","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-10-27 10:49:41 013498965_079_000_000_001_1","UP-VOTE","","10,102.26","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-10-27 10:49:41 013498965_079_000_000_001_0","STAKE","10,000.00","10,102.26","","",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","Abstain",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Adding Data Insights Core Unit (DIN-001) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Adding MakerLabs Core Unit (SNUNK-001) - October 11, 2021","Abstain",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Implementation of DSS Charter (MIP59) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - October 11, 2021","Yes",""
"2021-10-25 16:00:00 013487534_000_000","FINAL_CHOICE","","102.26","Ratification Poll for Growth Core Unit Budget, GRO-001 (MIP40c3-SP37) - October 11, 2021","Yes",""
"2021-10-23 00:54:52 013470801_306_000_3","VOTE","","102.26","Parameter Changes, WSTETH-A Onboarding - October 22, 2021","",""
"2021-10-23 00:54:52 013470801_306_000_2","VOTE","","102.26","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-10-23 00:54:52 013470801_306_000_1","MOVE VOTE","","102.26","Offboarding USDT Collateral, Core Unit Budget Distributions - October 1, 2021","",""
"2021-10-23 00:54:52 013470801_306_000_0","MOVE VOTE","","102.26","Offboarding Vaults, MKR Vesting, and Core Unit Budget Distribution - October 8, 2021","",""
"2021-10-21 16:00:00 013461957_000_000","FINAL_CHOICE","","102.26","Parameter Changes Proposal - MakerDAO Open Market Committee - October 18, 2021","Yes",""
"2021-10-19 19:02:11 013449951_018_000_0","CHOOSE","","102.26","Ratification Poll for Adding Data Insights Core Unit (DIN-001) - October 11, 2021","Yes",""
"2021-10-19 19:02:11 013449951_018_000_0","CHOOSE","","102.26","Ratification Poll for Implementation of DSS Charter (MIP59) - October 11, 2021","Yes",""
"2021-10-19 19:02:11 013449951_018_000_0","CHOOSE","","102.26","Ratification Poll for Adding MakerLabs Core Unit (SNUNK-001) - October 11, 2021","Abstain",""
"2021-10-19 19:02:11 013449951_018_000_0","CHOOSE","","102.26","Ratification Poll for Adding the Deco Fixed Rate Core Unit (DECO-001) - October 11, 2021","Abstain",""
"2021-10-19 19:02:11 013449951_018_000_0","CHOOSE","","102.26","Ratification Poll for Modify Core Unit Budget, MKT-001 (MIP40c3-SP33) - October 11, 2021","Yes",""
"2021-10-19 19:02:11 013449951_018_000_0","CHOOSE","","102.26","Parameter Changes Proposal - MakerDAO Open Market Committee - October 18, 2021","Yes",""
"2021-10-19 19:02:11 013449951_018_000_0","CHOOSE","","102.26","Ratification Poll for Growth Core Unit Budget, GRO-001 (MIP40c3-SP37) - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","102.26","Add the Aave Direct Deposit DAI Module (D3M) - October 11, 2021","Yes",""
"2021-10-14 16:00:00 013417283_000_000","FINAL_CHOICE","","102.26","Add stETH (Lido Staked ETH) as a new Vault Type - October 11, 2021","Yes",""
